"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000419",5.09780408562056,0.116420950418647,0.809883005123255,0.143750331445625,0.885697625158426,0.954190989892676
"ENSG00000000457",139.048138872033,-0.824993620460504,0.186119964056534,-4.43259069301085,9.31075172871269e-06,0.000179409833975195
"ENSG00000000460",107.194330007922,0.0536570555515667,0.198771477834461,0.269943435225918,0.787203770649272,0.905411632857068
"ENSG00000000938",5.00982323808713,-2.55827064844064,0.998507911898669,-2.56209351769289,0.0104043298941167,0.0593363946763786
"ENSG00000001036",14.7046972649881,0.728133362231218,0.384479003210996,1.8938182739504,0.0582491352177315,0.198265835835002
"ENSG00000001084",9.58832806291496,1.04097361681769,0.734331930053726,1.41757912765897,0.15631367750171,0.380346523357537
"ENSG00000001167",21.2094428575268,-0.556105247058296,0.491249679243625,-1.13202159829301,0.257625354193076,0.510555941111564
"ENSG00000001460",18.0078899321852,-1.15960114960243,0.332189197718171,-3.49078524397485,0.000481603205439314,0.00527701245254664
"ENSG00000001461",3.59059434238166,-0.646903473435026,0.71732350156825,-0.901829470274893,0.367147462205038,0.61681624431473
"ENSG00000001497",13.5418646899298,-0.353784442492833,0.68643365811882,-0.515394952313941,0.606277059030526,0.801856250161991
"ENSG00000001561",3.10627772692867,1.03725398463964,0.948064981956343,1.09407477797488,0.27392218330709,0.529065279122505
"ENSG00000001617",1.03851904608279,-2.40986026878503,1.44155540835636,-1.67170838860278,0.0945818391857755,0.274047882686121
"ENSG00000001626",0.608446717663769,1.69760919652067,1.59587313667502,1.06374946573612,0.287442209393684,NA
"ENSG00000001629",3.48087680055193,-0.192722618807892,1.18980580233081,-0.161978213949159,0.871323010047193,0.947280617646005
"ENSG00000001630",1.14041065727952,-0.129291458128622,0.960091189176112,-0.13466581048366,0.89287610618003,0.957166425357623
"ENSG00000001631",7.58147171094898,0.479207116839627,0.541222826066043,0.885415569632963,0.375932538074712,0.623008510544493
"ENSG00000002016",3.21489932186923,0.429759295420258,0.661745945423091,0.649432457263472,0.516058890454124,0.74001382322678
"ENSG00000002079",1.75339458874017,0.24766190835324,1.0657931660269,0.232373331193784,0.816248060679634,0.921285215337011
"ENSG00000002330",11.4606447284976,0.874020328102971,0.419766943161432,2.08215616389508,0.0373282078436964,0.147147896801159
"ENSG00000002549",13.1321548265248,-0.497388397373267,0.918661994635266,-0.54142698868341,0.588213309057989,0.790255510060654
"ENSG00000002586",11.8723123423407,-1.88270398351151,0.898549941125746,-2.09526916350667,0.0361470720426648,0.143907674646453
"ENSG00000002726",4.35119598336895,-0.672883359448386,0.681630879815598,-0.987166778052106,0.323560885333858,0.580035901363662
"ENSG00000002745",1.28944752048796,2.32675287668381,1.17464249400255,1.98081789869145,0.0476116988332779,0.174887810787215
"ENSG00000002746",0.530540197116074,1.64387309084341,1.42626692941247,1.15257043190406,0.249086745328764,NA
"ENSG00000002822",5.89492146602182,-0.427747369861239,0.545758750202692,-0.783766398069432,0.433177193875115,0.673206633806901
"ENSG00000002834",30.5548535500366,-1.26374316069747,0.805970792572777,-1.56797637376339,0.116886646252885,0.31475994801276
"ENSG00000002919",3.8461188502161,-2.29555754753298,0.797188081288511,-2.879568324482,0.00398220001442129,0.0281553353315442
"ENSG00000002933",3.23319013760147,0.767905714799706,0.654243350004835,1.17373102041317,0.240502781045158,0.490534751179849
"ENSG00000003056",59.8998374705589,-0.0469028919114109,0.228188039867203,-0.205544917861193,0.837146407808864,0.931894970634446
"ENSG00000003147",13.0306287180639,2.07088134750862,0.440187432831096,4.704544457777,2.54433420837104e-06,5.74207720177122e-05
"ENSG00000003249",2.86345870513482,-1.23333596454449,0.89217408680216,-1.3823938430729,0.166850805546688,0.395174088846333
"ENSG00000003393",3.97736044945083,-0.140150017753752,0.929618055226592,-0.150760860297179,0.880164362249343,0.951351714693662
"ENSG00000003400",1.37737606391761,-1.22525113883682,1.53831603306538,-0.796488570944219,0.425748115874448,0.667148524515075
"ENSG00000003402",32.8733641655024,-0.240054100226238,0.66334546629138,-0.361883984175437,0.717438728738443,0.867688460419053
"ENSG00000003509",129.786164412807,0.0685017561626281,0.237925897048712,0.287912148329962,0.77341398746354,0.898689546397796
"ENSG00000003756",20.1307795144186,-1.15090639385964,0.794548962759891,-1.44850279567659,0.147476484683149,0.366427364484762
"ENSG00000003987",74.3470835127339,0.0513716397630569,0.266532389454803,0.19274070167659,0.847162045732291,0.936447468124126
"ENSG00000003989",1.76907608961213,2.6614131646186,1.32504535105993,2.00854496224577,0.0445854131672691,0.166907527777642
"ENSG00000004059",4.00019354234874,-1.68448132073065,1.03106913751103,-1.63372295750888,0.102317035613247,0.288170349574376
"ENSG00000004139",551.577323491048,0.796223999363836,0.255760509178275,3.11316239525014,0.00185094139876611,0.0157565461538798
"ENSG00000004142",7.45381801619087,0.0206937618350889,0.630076731802535,0.0328432408159048,0.973799595612925,0.990752855468065
"ENSG00000004399",19.6077872570512,-0.0949627719948333,0.811109500053541,-0.117077622674331,0.90679854228724,0.964325549187017
"ENSG00000004455",43.6153567775703,-1.26609843245607,0.668937830916521,-1.89269970083972,0.0583978162263367,0.198577682692644
"ENSG00000004468",4.28801686529041,-0.549184685187695,0.808438118936237,-0.679315673425105,0.496937867587017,0.724348283698378
"ENSG00000004478",14.9554887607326,0.38379045798093,0.563074112751915,0.681598477516981,0.495492877925123,0.723347267043975
"ENSG00000004487",174.710736520984,0.0579340959066477,0.199920579449631,0.289785554174246,0.771980300008335,0.898169438134266
"ENSG00000004534",31.5577104234426,-0.418477484301794,0.635073416588043,-0.658943475464743,0.50993206662088,0.734808940720771
"ENSG00000004660",1.64508539551432,-0.145756493074321,1.11996086431145,-0.130144273535782,0.896452282746957,0.958949324959859
"ENSG00000004700",119.852115867322,0.525035866877935,0.251203239184815,2.09008398371669,0.0366102561463616,0.145272168060819
"ENSG00000004766",2.14885454457071,0.750019364747115,1.21075765404928,0.6194628315904,0.535611500268158,0.754223082893303
"ENSG00000004776",0.609576326148971,-0.937552670680862,1.67068215906335,-0.56117955506659,0.5746751389781,NA
"ENSG00000004777",1.25958935618705,-3.24770498210361,1.50575644619207,-2.15685942458808,0.0310166192672091,0.129112242882641
"ENSG00000004779",4.86486441173922,-0.385620444743046,0.850554211160164,-0.453375504680714,0.650278371893429,0.831301423183136
"ENSG00000004799",0.645308425690694,-1.70581840774139,1.64151734275953,-1.03917172442039,0.298724878277769,NA
